,actual_class,predicted_class,correct_prediction,prediction_probability,confidence,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
49474,edible,edible,True,0.0003924577279923369,high,5.19,x,d,y,t,p,unknown,y,7.05,15.79,unknown,unknown,y,unknown,unknown,f,f,unknown,d,u
22798,poisonous,poisonous,True,0.9975137144992127,high,6.84,s,t,y,f,x,c,y,5.03,12.98,unknown,unknown,y,unknown,unknown,f,f,unknown,d,a
60027,poisonous,poisonous,True,0.9943163427914603,high,10.44,o,unknown,n,f,f,f,f,4.58,25.92,unknown,g,n,unknown,unknown,f,f,unknown,d,s
35232,edible,edible,True,0.0008148238001717771,high,3.9,x,unknown,n,f,x,c,w,7.5,8.21,b,unknown,w,unknown,w,t,unknown,unknown,g,a
42968,edible,edible,True,0.00041194758502816775,high,10.76,p,s,n,t,e,unknown,g,11.26,17.32,s,unknown,w,unknown,unknown,t,l,unknown,m,a
50840,poisonous,poisonous,True,0.9999965505673539,high,10.82,x,unknown,n,f,p,unknown,p,11.57,28.93,c,unknown,n,unknown,unknown,f,f,p,d,a
13595,poisonous,poisonous,True,0.9999350454174231,high,1.43,x,g,y,f,d,d,n,1.51,2.32,unknown,s,n,unknown,unknown,f,f,unknown,h,a
47407,poisonous,poisonous,True,0.9991763824904066,high,3.67,b,unknown,n,f,a,unknown,n,8.7,2.45,unknown,unknown,g,unknown,w,f,f,k,g,a
5465,edible,edible,True,5.4705880449747674e-05,high,7.96,f,unknown,n,f,s,c,g,9.31,21.98,b,unknown,u,unknown,unknown,f,f,unknown,g,w
3106,edible,edible,True,0.0005010628040103219,high,17.34,f,y,w,f,unknown,unknown,w,24.22,20.24,s,unknown,n,unknown,unknown,t,m,unknown,m,u
52454,edible,edible,True,0.00016614238904422783,high,9.62,x,t,y,f,p,unknown,y,8.68,17.11,unknown,unknown,y,unknown,y,t,unknown,unknown,d,a
39588,poisonous,poisonous,True,0.9999557963993566,high,5.65,c,i,y,f,unknown,c,n,6.4,7.37,unknown,unknown,w,unknown,unknown,f,f,unknown,d,a
59166,poisonous,poisonous,True,0.9990101451323649,high,3.83,f,k,n,f,p,unknown,n,3.68,4.95,unknown,k,n,unknown,unknown,t,f,unknown,d,u
4413,edible,edible,True,4.9707138292638116e-06,high,3.14,s,y,n,f,d,d,p,8.58,3.98,unknown,i,n,unknown,unknown,f,f,unknown,l,u
50190,poisonous,poisonous,True,0.9994596924830333,high,11.36,x,e,y,t,p,unknown,o,6.11,24.48,unknown,unknown,e,unknown,unknown,f,f,unknown,d,a
35741,poisonous,poisonous,True,0.9998347265062516,high,4.24,x,h,n,f,a,c,n,5.3,6.25,unknown,y,n,unknown,unknown,t,z,unknown,d,w
56209,poisonous,poisonous,True,0.9999856341415209,high,6.05,o,k,n,f,unknown,c,y,1.53,16.97,unknown,unknown,y,unknown,unknown,f,f,unknown,d,a
48970,edible,edible,True,0.0009287079777419808,high,9.54,x,h,n,t,p,unknown,y,7.41,22.24,unknown,unknown,n,unknown,unknown,f,f,unknown,d,u
60276,poisonous,poisonous,True,0.9975760850472333,high,7.11,o,unknown,n,f,f,f,f,3.39,25.26,unknown,g,n,unknown,unknown,f,f,unknown,d,s
13282,poisonous,poisonous,True,0.9995389408974925,high,0.72,x,unknown,o,f,d,unknown,o,5.2,1.11,unknown,unknown,y,unknown,unknown,f,f,w,g,a
13223,poisonous,poisonous,True,0.9998721608242237,high,0.79,f,unknown,o,f,d,unknown,o,4.91,1.09,unknown,unknown,y,unknown,unknown,f,f,w,g,a
48282,poisonous,poisonous,True,0.9999986136548878,high,5.13,x,i,n,f,a,c,k,7.91,7.76,unknown,i,n,unknown,k,t,z,k,g,u
37011,poisonous,poisonous,True,0.9999573647307338,high,6.73,x,e,e,f,a,unknown,n,7.85,9.66,unknown,unknown,e,unknown,w,t,z,unknown,d,a
54072,poisonous,poisonous,True,0.9991708847030345,high,5.41,s,d,y,f,d,c,o,3.01,6.01,unknown,unknown,o,unknown,unknown,f,f,unknown,h,a
46440,edible,edible,True,0.051503412652600056,high,3.95,f,unknown,n,f,x,c,w,5.65,3.45,unknown,unknown,w,unknown,unknown,f,f,unknown,d,a
38112,poisonous,poisonous,True,0.9998352352335912,high,1.07,b,t,y,f,unknown,c,k,3.73,2.73,unknown,unknown,n,unknown,unknown,t,f,unknown,m,u
15292,edible,edible,True,0.00024243185912096606,high,8.82,x,y,n,f,unknown,unknown,w,7.91,26.45,b,unknown,n,unknown,w,t,e,unknown,d,a
14329,edible,edible,True,2.8295137849905335e-05,high,5.79,x,h,g,f,a,d,n,6.09,4.55,unknown,t,w,unknown,unknown,t,l,unknown,d,a
34542,poisonous,poisonous,True,0.999752620756514,high,2.75,f,h,y,f,unknown,unknown,n,8.08,3.21,unknown,unknown,y,unknown,unknown,f,f,unknown,g,a
